Chin. für Deutsche 1
这		zhe4			dies (hier), das (hier)
是		shi4			sein (Bindewort)
爸爸		ba4ba			Vater, Papa
那		na4				das (da, dort)
妈妈		ma1ma			Mutter, Mama
姐姐		jie3jie			ältere Schwester
和		he2				und, mit
妹妹		mei4mei			jüngere Schwester
哥哥		ge1ge			älterer Bruder
弟弟		di4di			jüngerer Bruder
爷爷		ye2ye			Großvater (väterlicherseits), Opa
奶奶		nai3nai			Großmutter (väterlicherseits), Oma
猫		mao1			Katze
狗		gou3			Hund
课文		ke4wen2			Text
生词		sheng1ci2		neues Wort, neue Vokabel
练习		lian4xi2		üben, Übung
谁		shei2			wer?
谁		shui2			wer?
王		wang2			Wang (Familienname)
先生		xian1sheng		Herr
马		ma3				Ma (Familienname)
小姐		xiao3jie		Fräulein
毛		mao2			Mao (Familienname)
太太		tai4tai			Ehefrau, verheiratete Frau
什么		shen2me			was?
图书馆	tu2shu1guan3	Bibliothek
教室		jiao4shi4		Unterrichtsraum, Klassenzimmer
李		li3				Li (Familienname)
老师		lao3shi1		Lehrer/in
学生		xue2sheng		Schüler/in, Student/in
的		de				Attributpartikel
书		shu1			Buch
历史		li4shi3			Geschichte, Historie
地理		di4li3			Geographie, Erdkunde
英文		ying1wen2		die englische Sprache
词典		ci2dian3		Wörterbuch
德文		de2wen2			die deutsche Sprache
日文		ri4wen2			die japanische Sprache
系		xi4				Seminar, Abteilung
中文		zhong1wen2		die chinesische Sprache
秘书		mi4shu1			Sekretär/in
哦		o4				ah, oh, ach
我		wo3				ich
你		ni3				du, Sie
您		nin2			Sie
他		ta1				er
她		ta1				sie
它		ta1				er, sie, es (Tiere und Dinge)
牠		ta1				er, sie, es (Tiere und Dinge)
我们		wo3men			wir
咱们		zan2men			wir (einschließlich Ansprechpartner)
你们		ni3men			ihr (2. Pers. Plural)
他们		ta1men			sie (3. Pers. Plural)
她们		ta1men			sie (3. Pers. Plural, weiblich)
不		bu4				nicht, nein
也		ye3				auch
都		dou1			beide, alle
好		hao3			gut (sein)
天气		tian1qi4		Wetter
很		hen3			sehr
真		zhen1			wahr, wirklich, echt
冷		leng3			kalt (sein)
热		re4				warm, heiß (sein)
忙		mang2			sehr beschäftigt sein, viel zu tun haben
吗		ma				Fragesatzpartikel
早		zao3			früh (sein), Guten Morgen!
可爱		ke3ai4			niedlich, nett, hübsch (sein)
同学		tong2xue2		Kommiliton/e/in
们		men				Pluralsuffix (nur für Personen)
努力		nu3li4			fleißig (sein), sich bemühen, sich Mühe geben
高		gao1			hoch, hochgewachsen, groß (sein), Gao (Familienname)
矮		ai3				klein, niedrig (sein)
朋友		peng2you		Freund/in, Bekannte/r
休息		xiu1xi			sich ausruhen, eine Pause machen, freihaben
做		zuo4			etw. machen, tun
练习		lian4xi2		Übung, Übungsaufgabe, etw. üben, einüben
学		xue2			etw. lernen, studieren
走		zou3			gehen, weg-, fort-, losgehen
再见		zai4jian4		Auf Wiedersehen!
工作		gong1zuo4		Arbeit, arbeiten, berufstätig sein
教		jiao4			etw. unterrichten, lehren
医生		yi1sheng1		Arzt, Ärztin
