Phrases
周末愉快!			zhou1mo4yu2kuai4!					Have a nice weekend!
你是从哪里来的?	ni3shi4cong2na3li3lai2de?			Where are you from?
祝你好运!			zhu4ni3hao3yun4!					Good luck!
洗手间在哪里?		xi3shou3jian1zai4na3li3?			Where's the toilet/bathroom?
快点好啦!			kuai4dian3hao3la!					Get well soon!
诶，什么事?		ei1,shen2me5shi4?					What's up?
好搞笑!			hao3gao3xiao4!						That's hilarious!
不会吧?			bu2hui4ba?							Are you serious?/No way!
我理解			wo3li3jie3							I understand.
下次再聊吧!		xia4ci4zai4liao2ba!					Let's talk another time!
回头见			hui2tou2jian4						See you later!
这个用汉语怎么说? 	zhe4ge5yong4han4yu3zen3me5shuo1?	How to say that in Chinese?
